"feature_id","name","description","mention_count","avg_star_rating","positive_count","negative_count","neutral_count","pct_positive","pct_negative","top_quotes_en","top_quotes_orig"
"loves_concept_overall","Loves the concept (generic)","Generic high praise without identifying a specific feature: 'amazing', 'wonderful', 'best app'","63","5.0","63","0","0","1.0","0.0","Creates amazingly | PERFECT! | EXCELLENT","สร้างได้สุดยอดมากๆ | PERFEITO! | EXCELENTE 👍"
"app_vs_web_parity","App vs web feature parity","App is missing features the website has, or the website is better than the app overall","60","2.52","7","52","1","0.117","0.867","The ingredients part is missing when I want to make a video out of a pic. Please include it. It's working in the Web Version | simply horrible image generation, before was perfect, now it's trash and the Flow site doesn't work anymore | This is just an outdated version of the web UI. There are no additional aspect ratio options available for image generation. At least it's here, after so long!","The ingridient part is missing when I want to make a video out of a pic. Please include it. It's working in the Web Version | simplesmente horrível a geração de imagem antes era perfeita agora está um lixo eo site do Flow não funciona mais | This is just an outdated version of the web UI. There are no additional aspect ratio options available for image generation. At least it's here, after so long!"
"crashes_errors","Crashes and errors","App crashing, generic errors, 'doesn't work', failed generations","56","1.82","0","56","0","0.0","1.0","It should only deduct credits from approved projects, because sometimes the video doesn't come out as planned due to platform error and you lose credits that aren't cheap | Can't generate any more video, always has problems and video is canceled. Fix this, the app had a lot of quality but lately, even the version used in Google wasn't working | It's freezing, and the official site is buggy, not delivering things like before, and it's not working on mobile","Só deveria descontar os créditos apenas de projetos aprovados, porque as vezes o vídeo não sai como planejado por próprio erro da plataforma e acaba perdendo os créditos que não são baratos | Não dá pra gerar mais vídeo algum, toda hora da problema, e o vídeo é cancelado. Resolvam isso, o app tinha muita qualidade, mas de uns tempos pra cá, mesmo a versão que era utilizada no Google, já não tava funcionando. | tá travando, e o site oficial tá bugado não tá entregando as coisas como antes, e não está funcionando para celular"
"credit_system_pricing","Credits and pricing","Credit consumption, running out of credits, expensive subscription, no refunds when generation fails","55","3.11","12","36","7","0.218","0.655","It should only deduct credits from approved projects, because sometimes the video doesn't come out as planned due to platform error and you lose credits that aren't cheap | Very bad, I tried my own image on omni flash model 4 times, it always makes the same person but it's not me! Don't waste your credits! If you'll just say it's beta, don't take credits | A very excellent app; it offers a free trial first, and then you need to subscribe to Google AI Plus. It's essentially a replica of Gemini's video creation feature.","Só deveria descontar os créditos apenas de projetos aprovados, porque as vezes o vídeo não sai como planejado por próprio erro da plataforma e acaba perdendo os créditos que não são baratos | Çok kötü, kendi görselimi omni flash modelinde 4 sefer denedim hep aynı insanı yapıyor ama o ben değilim! Boşuna kredilerinizi harcamayın! Beta diye geçiştirecekseniz, kredi almayın... | A very excellent app; it offers a free trial first, and then you need to subscribe to Google AI Plus. It's essentially a replica of Gemini's video creation feature."
"video_generation_quality","Video generation quality","Quality, realism, fidelity, or technical issues of generated videos (motion artifacts, blurriness, glitches, etc.)","51","2.29","13","37","1","0.255","0.725","my first review Google flow. the app has great animation and legendary video or photos generate the reality and best. Google flow is a very beautiful and best AI tool and best animation video and picture created. thank y | Can't generate any more video, always has problems and video is canceled. Fix this, the app had a lot of quality but lately, even the version used in Google wasn't working | I was waiting for this app, but so far, the rendering is poor. It doesn't understand prompts, and generates videos completely different from the image. You finally included an Animate feature. But you removed the Extend ","my first review Google flow 💗💗. the app a great animation and legendary video or photos generate the reality and best. Google flow is a very beautiful and best AI tools and best animation video and picture created. thank | Não dá pra gerar mais vídeo algum, toda hora da problema, e o vídeo é cancelado. Resolvam isso, o app tinha muita qualidade, mas de uns tempos pra cá, mesmo a versão que era utilizada no Google, já não tava funcionando. | I was waiting for this app, but so far, the rendering is poor. It doesn’t understand prompts, and generates videos completely different from the image. You finally included an 'Animate' feature. But you removed the Exten"
"ui_ux_design","UI / UX design","Interface design, ease of use, navigation, confusing or clean layout","39","3.51","19","18","2","0.487","0.462","This is just an outdated version of the web UI. There are no additional aspect ratio options available for image generation. At least it's here, after so long! | Google Flow Beta is amazing! Smooth interface, easy to use, and very helpful features. Great experience so far, excited to see more updates in the future. Keep it up! | App is too poor, can't upload multiple images at once, can't see image names, very inconvenient and slow. I use phone, operations on web are faster and more convenient than this app. I often upload multiple images at onc","This is just an outdated version of the web UI. There are no additional aspect ratio options available for image generation. At least it's here, after so long! | Google Flow Beta is amazing! 🚀 Smooth interface, easy to use, and very helpful features. Great experience so far—excited to see more updates in the future. Keep it up! ⭐⭐⭐⭐⭐ | app kém quá không thể tải nhiều hình ảnh cùng lúc , không thể nhìn thấy tên hình ảnh . quá phiền phức và chậm chạp . tôi sử dụng điện thoại thao tác trên wed nhanh và tiện hơn app này rất nhiều . tôi thường tải lên nhiều"
"character_consistency","Character / input image consistency","Whether the generated output preserves the face, character, clothing, or scene from the uploaded reference image","38","1.39","1","37","0","0.026","0.974","The picture we upload to make a video does not turn into a video. Instead, it creates a video using some other picture that we never even attached. | Very bad, I tried my own image on omni flash model 4 times, it always makes the same person but it's not me! Don't waste your credits! If you'll just say it's beta, don't take credits | App doesn't meet needs, the photo sent results in unclear photo","The picture we upload to make a video does not turn into a video. Instead, it creates a video using some other picture that we never even attached. | Çok kötü, kendi görselimi omni flash modelinde 4 sefer denedim hep aynı insanı yapıyor ama o ben değilim! Boşuna kredilerinizi harcamayın! Beta diye geçiştirecekseniz, kredi almayın... | aplikasi nya tak sesuai dengan kebutuhan.. foto yang di kirim hasilnya foto gak jelas.."
"prompt_following","Prompt adherence","Whether the output matches the user's text prompt instructions","32","2.03","4","27","1","0.125","0.844","very cool and it always does what I want | terrible, unable to execute a simple prompt | Why doesn't it match the prompt, keeps changing even though the prompt is complete, doesn't follow orders, want to go back to website but can't... my YouTube content is stuck","очень классно и он всегда делает как я хочу | péssimo, incapaz de executar um simples prompt | kenapa gak sesuai promt siih, diubah ubah mulu padahal promt udah lengkap, tapi gak sesuai perintah, mau balik ke website tapi udah gabisa.. duuuh konten YouTube ku mancet ini..."
"performance_speed","Performance and speed","Slow loading, lag, long render times, general performance issues","23","2.74","8","15","0","0.348","0.652","Right now it's very bad, can barely create videos, sometimes takes too long, sometimes fails, sometimes asks for new prompt, many many. In summary, after the update it's worse than before | Promising tool, but needs refinement. Google Flow has a lot of potential for streamlining workflows, and I appreciate the clean interface. The integration capabilities are quite smooth, which makes it easy to set up basi | too slow to load. previous version was best","ตอนนี้แย่มาก สร้างวิดีโอแทบไม่ได้เลย เดี่ยวก็ใช้เวลานานเกินไปเดี๋ยวก็ล้มเหลวเดี๋ยวก็ให้ใส่พรอมพ์ใหม่ มากมายหลายอัน สรุปอัพเดทแล้วห่วยแตกกว่าเดิมอีก | Promising tool, but needs refinement ""Google Flow has a lot of potential for streamlining workflows, and I appreciate the clean interface. The integration capabilities are quite smooth, which makes it easy to set up basi | too slow to loade. previous version was best"
"image_generation_quality","Image generation quality","Quality of generated still images (sharpness, aesthetics, realism)","22","3.36","12","10","0","0.545","0.455","simply horrible image generation, before was perfect, now it's trash and the Flow site doesn't work anymore | my first review Google flow. the app has great animation and legendary video or photos generate the reality and best. Google flow is a very beautiful and best AI tool and best animation video and picture created. thank y | Already giving all 5 stars to Google Flow, I use nano banana a lot, the best image generator on the market","simplesmente horrível a geração de imagem antes era perfeita agora está um lixo eo site do Flow não funciona mais | my first review Google flow 💗💗. the app a great animation and legendary video or photos generate the reality and best. Google flow is a very beautiful and best AI tools and best animation video and picture created. thank | Já deixando todas as 5 estrelas para o Google Flow, eu uso muito o nano banana, melhor gerador de imagens do mercado"
